Year,Place,Name,Country,Mark
1956,1,Vladimir KUTS,URS,13:39.600
1956,2,Gordon PIRIE,GBR,13:50.600
1956,3,George Derek IBBOTSON,GBR,13:54.400
1956,4,Miklos SZABO,HUN,14:03.400
1956,5,Albert George THOMAS,AUS,14:04.600
1956,6,Laszlo TABORI,HUN,14:09.800
1956,7,Nyandika MAIYORO,KEN,14:19.000
1956,8,Thyge Pedersen THOGERSEN,DEN,14:21.000
1956,9,Pyotr BOLOTNIKOV,URS,14:22.400
1956,10,Ivan CHERNYAVSKY,URS,14:22.400
1956,11,Christopher John CHATAWAY,GBR,14:28.800
1956,12,Herbert SCHADE,GER,14:31.800
1956,13,William Solon DELLINGER,USA,
1956,14,Velisa MUGOSA,YUG,
1956,15,Demissie GAMATCHO,ETH,
1956,16,John LANDY,AUS,
1956,17,Alain MIMOUN,FRA,
1956,18,Siegfried HERRMANN,GER,
1956,19,Georgios PAPAVASILEIOU,GRE,
1956,20,Jozsef KOVACS,HUN,
1956,21,Ali BAGHBANBASHI,IRI,
1956,22,Ernst LARSEN,NOR,
1956,23,Zdzislaw KRZYSZKOWIAK,POL,
1956,24,Emil ZATOPEK,TCH,
1956,25,Max Edwin TRUEX,USA,
