Year,Place,Name,Country,Mark
1956,1,Alfred OERTER,USA,56.36
1956,2,Fortune Edward GORDIEN,USA,54.81
1956,3,Desmond Dalworth KOCH,USA,54.40
1956,4,Mark PHARAOH,GBR,54.27
1956,5,Otto GRIGALKA,URS,52.37
1956,6,Adolfo CONSOLINI,ITA,52.21
1956,7,Ferenc KLICS,HUN,51.82
1956,8,Dako RADOSEVIC,YUG,51.69
1956,9,Boris MATVEYEV,URS,51.38
1956,10,Gerald Anthony CARR,GBR,50.72
1956,11,Günther KRUSE,ARG,49.89
1956,12,Kim BUKHANTSOV,URS,48.58
1956,13,Stephanus Johannes DU PLESSIS,RSA,48.49
1956,14,Erik UDDEBOM,SWE,48.28
1956,15,Mesulami RAKURO,FIJ,47.24
1956,16,Hernan HADDAD,CHI,46.00
1956,17,Todor Artarski TODOROV,BUL,
1956,18,William Barclay PALMER,GBR,
