Year,Place,Name,Country,Mark
1956,1,Olga FIKOTOVA-CONNOLLY,TCH,53.69
1956,2,Irina BEGLYAKOVA,URS,52.54
1956,3,Nina ROMASHKOVA-PONOMAREVA,URS,52.02
1956,4,Earlene Dennis BROWN,USA,51.35
1956,5,Albina ELKINA,URS,48.20
1956,6,Isabel Ercilla AVELLAN DE NEEFE,ARG,46.73
1956,7,Jiřina NĚMCOVÁ-VOBOŘILOVÁ,TCH,45.84
1956,8,Stepanka MERTOVA,TCH,45.78
1956,9,Lia MANOLIU,ROU,43.90
1956,10,Marianne WERNER-SCHULZE-ENTRUP,GER,43.34
1956,11,Paola PATERNOSTER,ITA,42.83
1956,12,Nada KOTLUSEK,YUG,42.16
1956,13,Lois JACKMAN,AUS,40.84
