Year,Place,Name,Country,Mark
1956,1,Gregory Curtis BELL,USA,7.83
1956,2,John Dale BENNETT,USA,7.68
1956,3,Jorma Rainer VALKAMA,FIN,7.48
1956,4,Dmitri BONDARENKO,URS,7.44
1956,5,Karimu Babalola OLOWU,NGR,7.36
1956,6,Kazimierz KROPIDLOWSKI,POL,7.30
1956,7,Neville Graham PRICE,RSA,7.28
1956,8,Oleg FEDOSEEV,URS,7.27
1956,9,Arthur Roy CRUTTENDEN,GBR,7.15
1956,10,Henryk GRABOWSKI,POL,7.15
1956,11,Kenneth Stanley D. WILMSHURST,GBR,7.14
1956,12,Fermin W. DONAZAR,URU,6.57
1956,13,Igor TER-OVANESYAN,URS,
1956,14,Kenneth James BOX,GBR,
1956,15,Mohinder SINGH,IND,
1956,16,Abdul Sattar ABDUL RAZZAK,IRQ,
1956,17,Hiroshi SHIBATA,JPN,
1956,18,Gabuh BIN PIGING,BRU,
1956,19,Martin REHAK,TCH,
1956,20,Rafer Lewis JOHNSON,USA,
1956,21,Arnoldo DEVONISH,VEN,
