Year,Place,Name,Country,Mark
1956,1,Elzbieta DUNSKA-KRZESINSKA,POL,6.35
1956,2,Willye WHITE,USA,6.09
1956,3,Nadezhda KHNYKINA-DVALISHVILI,URS,6.07
1956,4,Erika FISCH,GER,5.89
1956,5,Marthe LAMBERT-DJIAN,FRA,5.88
1956,6,Valentina SHAPRUNOVA,URS,5.85
1956,7,Beverly Dawn WEIGEL,NZL,5.85
1956,8,Nancy BORWICK,AUS,5.82
1956,9,Marja KUSION-BIBRO,POL,5.79
1956,10,Helga HOFFMANN,GER,5.73
1956,11,Olga GYARMATI,HUN,5.66
1956,12,Genowefa MINICKA,POL,5.64
1956,13,Reinalde KNAPP,AUT,
1956,14,Maureen REVER,CAN,
1956,15,Galina VINOGRADOVA-POPOVA,URS,
