Year,Place,Name,Country,Mark
1956,1,Tamara TYSHKEVICH,URS,16.59
1956,2,Galina ZYBINA,URS,16.53
1956,3,Marianne WERNER-SCHULZE-ENTRUP,GER,15.61
1956,4,Zinaida DOINIKOVA,URS,15.54
1956,5,Valerie Isobel Margaret SLOPER-YOUNG,NZL,15.34
1956,6,Earlene Dennis BROWN,USA,15.12
1956,7,Regina BRANNER,AUT,14.60
1956,8,Nada KOTLUSEK,YUG,14.56
1956,9,Milena USENIK,YUG,14.49
1956,10,Jackie MACDONALD,CAN,14.31
1956,11,Johanna LÜTTGE-HÜBNER,GER,13.88
1956,12,Anne-Chatrine LAFRENZ,GER,13.72
1956,13,Valerie Dawn LAWRENCE,AUS,13.12
1956,14,Lois Ann TESTA,USA,13.06
1956,15,Suzanne FARMER-ALLDAY,GBR,12.71
1956,16,Jiřina NĚMCOVÁ-VOBOŘILOVÁ,TCH,
