Year,Place,Name,Country,Mark
1956,1,Adhemar FERREIRA DA SILVA,BRA,16.35
1956,2,Vilhjalmur EINARSSON,ISL,16.26
1956,3,Vitold KREER,URS,16.02
1956,4,William John SHARPE,USA,15.88
1956,5,Martin REHAK,TCH,15.85
1956,6,Leonid SHCHERBAKOV,URS,15.80
1956,7,Koji SAKURAI,JPN,15.73
1956,8,Teruji KOGAKE,JPN,15.64
1956,9,Kenneth Stanley D. WILMSHURST,GBR,15.54
1956,10,Ryszard MALCHERCZYK,POL,15.54
1956,11,Ira Sylvester DAVIS,USA,15.40
1956,12,George Donald II SHAW,USA,15.33
1956,13,Hiroshi SHIBATA,JPN,15.25
1956,14,Kari Tapani RAHKAMO,FIN,15.21
1956,15,Mohinder SINGH,IND,15.20
1956,16,Eric BATTISTA,FRA,15.15
1956,17,Paul Bamela ENGO,NGR,15.03
1956,18,Tapio LEHTO,FIN,14.91
1956,19,Hannu Kalevi RANTALA,FIN,14.87
1956,20,Lawrence OGWANG,UGA,14.72
1956,21,Yong-Kee CHOI,KOR,14.65
1956,22,Peter ESIRI,NGR,
1956,23,Yevgeny CHEN,URS,
1956,24,Abdul Sattar ABDUL RAZZAK,IRQ,
1956,25,Arnoldo DEVONISH,VEN,
