Year,Place,Name,Country,Mark
1968,1,Mohamed GAMMOUDI,TUN,14:05.000
1968,2,Kipchoge KEINO,KEN,14:05.200
1968,3,Nabiba Naftali TEMU,KEN,14:06.400
1968,4,Juan Maximo MARTINEZ,MEX,14:10.800
1968,5,Ronald CLARKE,AUS,14:12.400
1968,6,Wohib MASRESHA,ETH,14:17.600
1968,7,Nikolai SVIRIDOV,URS,14:18.400
1968,8,Fikru DEGUEFU,ETH,14:19.000
1968,9,Jean WADOUX,FRA,14:20.800
1968,10,Rex Montague MADDAFORD,NZL,14:39.800
1968,11,Robert FINLAY,CAN,14:45.000
1968,12,Emiel PUTTEMANS,BEL,14:59.600
1968,13,Harald NORPOTH,FRG,
1968,14,Larbi OUKADA,MAR,
1968,15,Mihail ZHELEV,BUL,
1968,16,Alvaro MEJIA FLORES,COL,
1968,17,Efrain CORDERO,ESA,
1968,18,Robert HACKMAN,GHA,
1968,19,Lajos MECSER,HUN,
1968,20,Arne Roald RISA,NOR,
1968,21,Manuel De OLIVEIRA,POR,
