Year,Place,Name,Country,Mark
1968,1,Alfred OERTER,USA,64.78
1968,2,Lothar MILDE,GDR,63.08
1968,3,Ludvik DANEK,TCH,62.92
1968,4,Hartmut LOSCH,GDR,62.12
1968,5,L.Jay SILVESTER,USA,61.78
1968,6,Gary David CARLSEN,USA,59.46
1968,7,Edmund PIATKOWSKI,POL,59.40
1968,8,Rickard BRUCH,SWE,59.28
1968,9,Hein-Direk NEU,FRG,58.66
1968,10,Gunter SCHAUMBURG,GDR,58.62
1968,11,Ferenc TEGLA,HUN,58.36
1968,12,Robin Douglas TAIT,NZL,57.68
1968,13,Praveen KUMAR,IND,
1968,14,Silvano SIMEON,ITA,
1968,15,Lahcen Samsam AKKA,MAR,
1968,16,Nashatar SINGH SIDHU,MAS,
