Year,Place,Name,Country,Mark
1968,1,Richard Douglas FOSBURY,USA,2.24
1968,2,Edward J. Jr. CARUTHERS,USA,2.22
1968,3,Valentin GAVRILOV,URS,2.20
1968,4,Valeri SKVORTSOV,URS,2.16
1968,5,Reynaldo Ray BROWN,USA,2.14
1968,6,Giacomo CROSA,ITA,2.14
1968,7,Gunter SPIELVOGEL,FRG,2.14
1968,8,Lawrence William PECKHAM,AUS,2.12
1968,9,Robert SAINTE-ROSE,FRA,2.09
1968,10,Ingomar SIEGHART,FRG,2.09
1968,11,Luis Maria GARRIGA ORTIZ,ESP,2.09
1968,12,Ahmed SENOUSSI,CHA,2.09
1968,13,Miodrag TODOSIJEVIC,YUG,2.06
1968,14,Bo JONSSON,SWE,
1968,15,Ababacar LY,SEN,
1968,16,Freddy HERBRAND,BEL,
1968,17,Samuel IGUN,NGR,
1968,18,Jan DAHLGREN,SWE,
