Year,Place,Name,Country,Mark
1968,1,Miloslava REZKOVA-HUBNER,TCH,1.82
1968,2,Antonina OKOROKOVA-LAZAREVA,URS,1.80
1968,3,Valentina KOZYR,URS,1.80
1968,4,Jaroslava VALENTOVA-KRALOVA,TCH,1.78
1968,5,Rita SCHMIDT-KIRST,GDR,1.78
1968,6,Maria FAITHOVA-MRACNOVA,TCH,1.78
1968,7,Karin RUGER-SCHULZE,GDR,1.76
1968,8,Ilona GUSENBAUER-MAJDAN,AUT,1.76
1968,9,Ghislaine BARNAY,FRA,1.71
1968,10,Magdolna KOMKA,HUN,1.71
1968,11,Maria CIPRIANO,BRA,1.71
1968,12,Vera GRUSHKINA,URS,1.71
1968,13,Barbara Jean INKPEN,GBR,1.68
1968,14,Snezana HREPEVNIK,YUG,1.68
1968,15,Patsy CALENDER,BAR,
1968,16,Sandra JOHNSON,CRC,
1968,17,Lolita LAGROSAS,PHI,
