Year,Place,Name,Country,Mark
1968,1,Bob BEAMON,USA,8.90
1968,2,Klaus BEER,GDR,8.19
1968,3,Ralph Harold BOSTON,USA,8.16
1968,4,Igor TER-OVANESYAN,URS,8.12
1968,5,Tõnu LEPIK,URS,8.09
1968,6,Allen CRAWLEY,AUS,8.02
1968,7,Jacques PANI,FRA,7.97
1968,8,Andrzej STALMACH,POL,7.94
1968,9,Lynn DAVIES,GBR,7.94
1968,10,Hiroomi YAMADA,JPN,7.93
1968,11,Leonid BARKOVSKI,URS,7.90
1968,12,Reinhold BOSCHERT,FRG,7.89
1968,13,Michael Kofi AHEY,GHA,7.71
1968,14,Lars-Olof HOOK,SWE,7.66
1968,15,Victor BROOKS,JAM,7.51
1968,16,Gerard UGOLINI,FRA,7.44
1968,17,Charles MAYS,USA,
1968,18,Philip MAY,AUS,
1968,19,Johnson O. AMOAH,GHA,
1968,20,Zoltan CZIFFRA,HUN,
1968,21,Henrik KALOCSAI,HUN,
1968,22,Labh SINGH,IND,
1968,23,Giuseppe GENTILE,ITA,
1968,24,Chuan-Chow CHEN,TPE,
