Year,Place,Name,Country,Mark
1968,1,Viorica VISCOPOLEANU,ROU,6.82
1968,2,Sheila Hilary PARKIN-SHERWOOD,GBR,6.68
1968,3,Tatyana TALYSHEVA,URS,6.66
1968,4,Burghild WIECZOREK,GDR,6.48
1968,5,Miroslawa SARNA,POL,6.47
1968,6,Ingrid BECKER-MICKLER,FRG,6.43
1968,7,Berit BERTHELSEN-TOIEN,NOR,6.40
1968,8,Heide ROSENDAHL,FRG,6.40
1968,9,Violet Obiamaka ODOGWU,NGR,6.23
1968,10,Martha Rae WATSON,USA,6.20
1968,11,Willye WHITE,USA,6.08
1968,12,Maureen Anne BARTON-CHITTY,GBR,5.95
1968,13,Ann Shirley WILSON,GBR,5.90
1968,14,Barbel LOHNERT,GDR,4.49
1968,15,Alicia Adela KAUFMANAS,ARG,
1968,16,Nina Ella Damkjer HANSEN,DEN,
1968,17,Maria Vittoria TRIO,ITA,
