Year,Place,Name,Country,Mark
1976,1,Malcolm Maurice WILKINS,USA,67.50
1976,2,Wolfgang SCHMIDT,GDR,66.22
1976,3,John Gates POWELL,USA,65.70
1976,4,Norbert THIEDE,GDR,64.30
1976,5,Siegfried PACHALE,GDR,64.24
1976,6,Pentti Aatos KAHMA,FIN,63.12
1976,7,Knut HJELTNES,NOR,63.06
1976,8,L.Jay SILVESTER,USA,61.98
1976,9,Ludvik DANEK,TCH,61.28
1976,10,Velko VELEV,BUL,60.94
1976,11,Ferenc TEGLA,HUN,60.54
1976,12,Hein-Direk NEU,FRG,60.46
1976,13,Josef SILHAVY,TCH,58.42
1976,14,Janos FARAGO,HUN,57.48
1976,15,Armando DE VINCENTIIS,ITA,55.86
