Year,Place,Name,Country,Mark
1980,1,Bärbel ECKERT-WÖCKEL,GDR,22.030
1980,2,Natalia BOCHINA,URS,22.190
1980,3,Merlene OTTEY-PAGE,JAM,22.200
1980,4,Romy MÜLLER,GDR,22.470
1980,5,Kathryn SMALLWOOD-COOK,GBR,22.610
1980,6,Beverley GODDARD-CALLENDER,GBR,22.720
1980,7,Denise ROBERTSON-BOYD,AUS,22.760
1980,8,Sonia LANNAMAN,GBR,22.800
1980,9,Deborah WELLS,AUS,
1980,10,Karoline KAFER,AUT,
1980,11,Helina LAIHORINNE-MARJAMAA,FIN,
1980,12,Xiomara LARIOS,NCA,
1980,13,Jarmila KRATOHVILOVA,TCH,
1980,14,Lyudmila KONDRATYEVA,URS,
