Year,Place,Name,Country,Mark
1980,1,Gerd WESSIG,GDR,2.36
1980,2,Jacek WSZOLA,POL,2.31
1980,3,Jörg FREIMUTH,GDR,2.31
1980,4,Henry LAUTERBACH,GDR,2.29
1980,5,Roland DALHAUSER,SUI,2.24
1980,6,Vaso KOMNENIC,YUG,2.24
1980,7,Adrian PROTEASA,ROU,2.21
1980,8,Aleksandr GRIGORIEV,URS,2.21
1980,9,Mark NAYLOR,GBR,2.21
1980,10,Gennadi BELKOV,URS,2.21
1980,11,Aleksey DEMYANYUK,URS,2.21
1980,12,Janusz TRZEPIZUR,POL,2.18
1980,13,Sorin MATEI,ROU,2.18
1980,14,Guy MOREAU,BEL,2.18
1980,15,Marco TAMBERI,ITA,2.15
1980,16,Roberto CABREJAS,ESP,2.10
