Year,Place,Name,Country,Mark
1972,1,Valerii BORZOV,URS,20.000
1972,2,Lawrence J. BLACK,USA,20.190
1972,3,Pietro MENNEA,ITA,20.300
1972,4,Lawrence Godfrey BURTON,USA,20.370
1972,5,Charles Kenneth SMITH,USA,20.550
1972,6,Siegfried SCHENKE,GDR,20.560
1972,7,Martin JELLINGHAUS,FRG,20.650
1972,8,Hans-Joachim ZENK,GDR,21.050
1972,9,Rodolfo RIEDER,PAR,
1972,10,Mao SAMPHON,CAM,
1972,11,Charlie FRANCIS,CAN,
1972,12,Amadou MÉITÉ,CIV,
1972,13,Abdul Aziz ABDUL KAREEM,KUW,
1972,14,Jean-louis RAVELOMANANTSOA,MAD,
1972,15,Benedict MAJEKODUNMI,NGR,
1972,16,Zenon NOWOSZ,POL,
1972,17,Larmeck MUKONDE,ZAM,
