Year,Place,Name,Country,Mark
1972,1,Ludvik DANEK,TCH,64.40
1972,2,L.Jay SILVESTER,USA,63.50
1972,3,Rickard BRUCH,SWE,63.40
1972,4,John Gates POWELL,USA,62.82
1972,5,Geza FEJER,HUN,62.62
1972,6,Detlef THORITH,GDR,62.42
1972,7,Ferenc TEGLA,HUN,60.60
1972,8,Timothy William VOLLMER,USA,60.24
1972,9,Pentti Aatos KAHMA,FIN,59.66
1972,10,Silvano SIMEON,ITA,59.34
1972,11,Jorma Tapani RINNE,FIN,59.22
1972,12,Janos MURANYI,HUN,57.92
1972,13,Namakoro NIARE,MLI,56.48
1972,14,Leslie Roy MILLS,NZL,55.86
1972,15,Stoyan SLAVKOV,BUL,
1972,16,Julio BEQUER,CUB,
1972,17,Nagui ASSAAD,EGY,
1972,18,Noel MATUBA,CGO,
