Year,Place,Name,Country,Mark
1972,1,Faina MELNIK,URS,66.62
1972,2,Argentina MENIS,ROU,65.06
1972,3,Vassilka STOEVA,BUL,64.34
1972,4,Tamara DANILOVA,URS,62.86
1972,5,Liselotte (Liesel) WESTERMANN,FRG,62.18
1972,6,Gabriele HINZMANN,GDR,61.72
1972,7,Carmen IONESCO,ROU,60.42
1972,8,Lyudmila MURAVYOVA,URS,59.00
1972,9,Lia MANOLIU,ROU,58.50
1972,10,Svetla BOZHKOVA,BUL,56.72
1972,11,Brigitte BERENDONK,FRG,56.58
1972,12,Christine Rosemary PAYNE,GBR,56.50
1972,13,Rosa MOLINA,CHI,
1972,14,Jolan KLEIBER-KONTSEK,HUN,
1972,15,Ok-ja BAEK,KOR,
