Year,Place,Name,Country,Mark
1972,1,Randel Luvelle WILLIAMS,USA,8.24
1972,2,Hans BAUMGARTNER,FRG,8.18
1972,3,Arnie ROBINSON,USA,8.03
1972,4,Joshua OWUSU,GHA,8.01
1972,5,Preston Morrand CARRINGTON,USA,7.99
1972,6,Max KLAUSS,GDR,7.96
1972,7,Alan Leslie LERWILL,GBR,7.91
1972,8,Leonid BARKOVSKI,URS,7.75
1972,9,Valery PODLUZHNY,URS,7.72
1972,10,Jacques ROUSSEAU,FRA,7.65
1972,11,Ari Henrik VAANANEN,FIN,7.62
1972,12,Grzegorz CYBULSKI,POL,7.58
1972,13,Jong-gu HYON,PRK,
1972,14,Luiz DE SOUZA,BRA,
1972,15,Jan KOBUSZEWSKI,POL,
1972,16,Dennis FREEMAN,LBR,
1972,17,Samuela YAVALA,FIJ,
1972,18,Jacques PANI,FRA,
1972,19,Giuseppe GENTILE,ITA,
1972,20,Patrick ONYANGO,KEN,
1972,21,Enkhbaatar BYAMBAJAVYN,MGL,
1972,22,Samuel IGUN,NGR,
1972,23,Mamsdou Monsour DIA,SEN,
1972,24,Milan SPASOJEVIC,YUG,
