Year,Place,Name,Country,Mark
1972,1,Wladyslaw KOMAR,POL,21.18
1972,2,George Roger WOODS,USA,21.17
1972,3,Hartmut BRIESENICK,GDR,21.14
1972,4,Hans-Peter GIES,GDR,21.14
1972,5,Allan Dean FEUERBACH,USA,21.01
1972,6,Brian Ray OLDFIELD,USA,20.91
1972,7,Heinfried BIRLENBACH,FRG,20.37
1972,8,Vilmos VARJU,HUN,20.10
1972,9,Jaromir VLK,TCH,20.09
1972,10,Jaroslav BRABEC,TCH,19.86
1972,11,Heinz-Joachim ROTHENBURG,GDR,19.74
1972,12,Yves BROUZET,FRA,19.61
1972,13,Ralph REICHENBACH,FRG,19.48
1972,14,Rimantas PLUNGE,URS,19.30
1972,15,Lahcen Samsam AKKA,MAR,19.11
1972,16,Seppo SIMOLA,FIN,19.06
1972,17,Bruce PIRNIE,CAN,18.90
1972,18,Traugott GLÖCKLER,FRG,18.85
1972,19,Nagui ASSAAD,EGY,
1972,20,Bjørn Bang ANDERSEN,NOR,
1972,21,Aristides LANIER,CUB,
1972,22,Vassil KROUMOV,BUL,
1972,23,William Raymond TANCRED,GBR,
1972,24,Salvatore MORALE,ITA,
