Year,Place,Name,Country,Mark
1924,1,Paavo NURMI,FIN,14:31.200
1924,2,Ville RITOLA,FIN,14:31.400
1924,3,Edvin WIDE,SWE,15:01.800
1924,4,John Luther ROMIG,USA,15:12.400
1924,5,Eino SEPPÄLÄ,FIN,15:18.400
1924,6,Charles Thomas CLIBBON,GBR,15:29.000
1924,7,L. Lucien DOLQUES,FRA,15:33.000
1924,8,Axel ERIKSSON,SWE,15:38.000
1924,9,Léon MASCAUX,FRA,15:39.000
1924,10,Frank C. SAUNDERS,GBR,15:54.000
1924,11,Rudolf HEIDEGGER,AUT,
1924,12,Enrico GARLASCHELLI,ITA,
1924,13,V. N. VENKATARAMANASWAMY,IND,
1924,14,Istvan GROSZ,HUN,
1924,15,Vasil VENKOV,BUL,
1924,16,Manuel PLAZA REYES,CHI,
1924,17,Alberto JARRÍN,ECU,
1924,18,Jesus DIEGUEZ,ESP,
1924,19,J. J. RYAN,IRL,
1924,20,Kikunosuke TASHIRO,JPN,
1924,21,Vilem SINDLER,TCH,
