Year,Place,Name,Country,Mark
1924,1,Harold OSBORN,USA,1.98
1924,2,Leroy BROWN,USA,1.95
1924,3,Pierre LEWDEN,FRA,1.92
1924,4,Thomas Woodson POOR,USA,1.88
1924,5,Jenö GASPAR,HUN,1.88
1924,6,Helge JANSSON,SWE,1.85
1924,7,Pierre GUILLOUX,FRA,1.85
1924,8,Sverre HELGESEN,NOR,1.83
1924,9,Lawrence ROBERTS,RSA,1.83
1924,10,Edouard DUPIRE,FRA,
1924,11,Arthur WILLIS,GBR,
1924,12,Crawford KERR,GBR,
1924,13,Mikuláš KUCSERA,TCH,
1924,14,Robert Louis JUDAY,USA,
1924,15,Egyed SERF,HUN,
1924,16,Richard HASELSTEINER,AUT,
1924,17,José Luis ELOSEGUI,ESP,
1924,18,Alajos MAGYAR,HUN,
1924,19,Karl OSTERBERG,SWE,
1924,20,Štefán STANISLAU,TCH,
1924,21,Karl VETTERMANN,AUT,
1924,22,Guglielmo BARETTONI,ITA,
1924,23,Pedro IRIGOYEN,ESP,
1924,24,Bertie HEATHCOTE,IND,
1924,25,Eurico DE FREITAS,BRA,
1924,26,Iivari H. YRJÖLÄ,FIN,
1924,27,Cheruvari LAKSHMANAN,IND,
1924,28,Alfonso STOOPEN,MEX,
1924,29,Sverre HANSEN,NOR,
1924,30,Ernest SUTHERLAND,RSA,
