Year,Place,Name,Country,Mark
1924,1,William De Hart HUBBARD,USA,7.445
1924,2,Edward Orval GOURDIN,USA,7.275
1924,3,Sverre HANSEN,NOR,7.26
1924,4,Vilho Immanuel TUULOS,FIN,7.07
1924,5,Louis WILHELME,FRA,6.99
1924,6,Christopher E. W. MACKINTOSH,GBR,6.92
1924,7,Virgilio TOMMASI,ITA,6.89
1924,8,William COMINS,USA,
1924,9,Hannes DE BOER,NED,
1924,10,Josef POLESE,AUT,
1924,11,Fernando ARTIACH,ESP,
1924,12,Alexander WEILHEIM,AUT,
1924,13,Bertie HEATHCOTE,IND,
1924,14,M. JIRDA,TCH,
1924,15,Vildan AŞIR SAVAŞIR,TUR,
1924,16,József HALUSKA,HUN,
1924,17,Ápio NUNES,POR,
1924,18,José María YERMO,ESP,
1924,19,Luis BRUNETO,ARG,
1924,20,Otto DIESCH,ARG,
1924,21,Anthony William WINTER,AUS,
1924,22,Álvaro RIBEIRO,BRA,
1924,23,Ross SHEPPARD,CAN,
1924,24,Eero Reino LEHTONEN,FIN,
1924,25,Harold ABRAHAMS,GBR,
1924,26,Édouard ARMAND,HAI,
1924,27,Ferenc MOLNAR,HUN,
1924,28,Elemer SOMFAY,HUN,
1924,29,Cheruvari LAKSHMANAN,IND,
1924,30,Charles Teilmann HOFF,NOR,
1924,31,Sidney ATKINSON,RSA,
1924,32,Ernest SUTHERLAND,RSA,
1924,33,Erik ABRAHAMSSON,SWE,
1924,34,Alois LINKA,TCH,
1924,35,Aleksa SPAHIC,YUG,
1924,36,Phil MACDONALD,CAN,
