Year,Place,Name,Country,Mark
1924,1,Lemuel Clarence HOUSER,USA,14.995
1924,2,Glenn HARTRANFT,USA,14.895
1924,3,Ralph Gorman HILLS,USA,14.64
1924,4,Hannes Johannes TORPO,FIN,14.45
1924,5,Norman ANDERSON,USA,14.29
1924,6,Elmer Konstantin NIKLANDER,FIN,14.26
1924,7,Ottavio ZANI,BRA,
1924,8,Jan MILDEV,BUL,
1924,9,J. POGANYI,TCH,
1924,10,J. PAUL,TCH,
1924,11,Erich FRIEDMANN,AUT,
1924,12,Ekrem GÜÇLÜER,TUR,
1924,13,Josef PŘIDAL,TCH,
1924,14,Karlo AMBROZY,YUG,
1924,15,Emil JANAUSCH,AUT,
1924,16,Jack MURDOCH,CAN,
1924,17,Sandor TOLDY,HUN,
1924,18,Carlo BUTTI,ITA,
1924,19,Aurelio LENZI,ITA,
1924,20,Camilio ZEMI,ITA,
1924,21,Alexandru FRITZ,HUN,
1924,22,Einar NILSSON,SWE,
