Year,Place,Name,Country,Mark
2024,1,Beatrice CHEBET,KEN,14:28.56
2024,2,Faith KIPYEGON,KEN,14:29.60
2024,3,Sifan HASSAN,NED,14:30.61
2024,4,Nadia BATTOCLETTI,ITA,14:31.64
2024,5,Margaret Chelimo KIPKEMBOI,KEN,14:32.23
2024,6,Ejgayehu TAYE,ETH,14:32.98
2024,7,Medina EISA,ETH,14:35.43
2024,8,Karoline Bjerkeli GROVDAL,NOR,14:43.21
2024,9,Gudaf TSEGAY,ETH,14:45.21
2024,10,Karissa SCHWEIZER,USA,14:45.57
2024,11,Elise CRANNY,USA,14:48.06
2024,12,Rose DAVIES,AUS,14:49.67
2024,13,Nathalie BLOMQVIST,FIN,14:53.10
2024,14,Whittni MORGAN,USA,14:53.57
2024,15,Joselyn Daniely BREA,VEN,15:17.04
2024,16,Francine NIYOMUKUNZI,BDI,15:22.40
