Year,Place,Name,Country,Mark
2016,1,Mohamed FARAH,GBR,13:03.300
2016,2,Paul Kipkemoi CHELIMO,USA,13:03.900
2016,3,Hagos GEBRHIWET,ETH,13:04.350
2016,4,Mohammed AHMED,CAN,13:05.940
2016,5,Bernard LAGAT,USA,13:06.780
2016,6,Andrew BUTCHART,GBR,13:08.610
2016,7,Albert Kibichii ROP,BRN,13:08.790
2016,8,Joshua Kiprui CHEPTEGEI,UGA,13:09.170
2016,9,Birhanu BALEW,BRN,13:09.260
2016,10,Abrar Osman ADEM,ERI,13:09.560
2016,11,Hassan MEAD,USA,13:09.810
2016,12,Dejen GEBREMESKEL,ETH,13:15.910
2016,13,Elroy GELANT,RSA,13:17.470
2016,14,Brett ROBINSON,AUS,13:32.300
2016,15,David TORRENCE,PER,13:43.120
2016,16,Muktar EDRIS,ETH,
2016,17,Moukheld AL-OUTAIBI,KSA,
