Year,Place,Name,Country,Mark
2016,1,Vivian CHERUIYOT,KEN,14:26.170
2016,2,Hellen Onsando OBIRI,KEN,14:29.770
2016,3,Almaz AYANA,ETH,14:33.590
2016,4,Mercy CHERONO,KEN,14:42.890
2016,5,Senbere TEFERI,ETH,14:43.750
2016,6,Yasemin CAN,TUR,14:56.960
2016,7,Karoline Bjerkeli GROVDAL,NOR,14:57.530
2016,8,Susan KUIJKEN,NED,15:00.690
2016,9,Eloise WELLINGS,AUS,15:01.590
2016,10,Madeline HEINER HILLS,AUS,15:04.050
2016,11,Shelby HOULIHAN,USA,15:08.890
2016,12,Genevieve GREGSON,AUS,15:10.350
2016,13,Eilish MCCOLGAN,GBR,15:12.090
2016,14,Ababel YESHANEH,ETH,15:18.260
2016,15,Miyuki UEHARA,JPN,15:34.970
2016,16,Jennifer WENTH,AUT,15:56.110
2016,17,Nikki HAMBLIN,NZL,16:14.240
2016,18,Dalila GOSA,BRN,
