Year,Place,Name,Country,Mark
2016,1,Derek DROUIN,CAN,2.38
2016,2,Mutaz Essa BARSHIM,QAT,2.36
2016,3,Bohdan BONDARENKO,UKR,2.33
2016,4,Andriy PROTSENKO,UKR,2.33
2016,5,Robert GRABARZ,GBR,2.33
2016,6,Erik KYNARD,USA,2.33
2016,7,Majed Aldin GHAZAL,SYR,2.29
2016,8,Kyriakos IOANNOU,CYP,2.29
2016,9,Donald THOMAS,BAH,2.29
2016,10,Tikhomir IVANOV,BUL,2.29
2016,11,Trevor BARRY,BAH,2.25
2016,12,Dimitrios CHONDROKOUKIS,CYP,2.25
2016,13,Luis Joel CASTRO,PUR,2.25
2016,14,Jaroslav BABA,CZE,2.20
2016,15,Brandon STARC,AUS,2.20
