Year,Place,Name,Country,Mark
2016,1,Ruth BEITIA,ESP,1.97
2016,2,Mirela DEMIREVA,BUL,1.97
2016,3,Blanka VLASIC,CRO,1.97
2016,4,Chaunte HOWARD,USA,1.97
2016,5,Alessia TROST,ITA,1.93
2016,6,Levern SPENCER,LCA,1.93
2016,7,Sofie SKOOG,SWE,1.93
2016,8,Marie-Laurence JUNGFLEISCH,GER,1.93
2016,9,Kamila LICWINKO,POL,1.93
2016,10,Morgan LAKE,GBR,1.93
2016,11,Inika MCPHERSON,USA,1.93
2016,12,Iryna GERASHCHENKO,UKR,1.93
2016,13,Airine PALSYTE,LTU,1.88
2016,14,Svetlana RADZIVIL,UZB,1.88
2016,15,Vashti CUNNINGHAM,USA,1.88
2016,16,Desiree ROSSIT,ITA,1.88
2016,17,Alyxandria TREASURE,CAN,1.88
2016,18,Nafissatou THIAM,BEL,
