Year,Place,Name,Country,Mark
1960,1,Murray Gordon HALBERG,NZL,13:43.400
1960,2,Hans GRODOTZKI,GER,13:44.600
1960,3,Kazimierz ZIMNY,POL,13:44.800
1960,4,Friedrich JANKE,GER,13:46.800
1960,5,David POWER,AUS,13:51.800
1960,6,Nyandika MAIYORO,KEN,13:52.800
1960,7,Michel BERNARD,FRA,14:04.200
1960,8,Horst FLOSBACH,GER,14:06.600
1960,9,Aleksandr ARTYNYUK,URS,14:08.000
1960,10,Sandor IHAROS,HUN,14:11.400
1960,11,Albert George THOMAS,AUS,14:20.400
1960,12,Luigi CONTI,ITA,14:34.000
1960,13,O. ENO ALIO,SOM,
1960,14,Zdzislaw KRZYSZKOWIAK,POL,
