Year,Place,Name,Country,Mark
1960,1,Alfred OERTER,USA,59.18
1960,2,Richard Aldrich BABKA,USA,58.02
1960,3,Richard Lee COCHRAN,USA,57.16
1960,4,Jozsef SZECSENYI,HUN,55.79
1960,5,Edmund PIATKOWSKI,POL,55.12
1960,6,Viktor KOMPANEETS,URS,55.06
1960,7,Carmelo RADO,ITA,54.00
1960,8,Kim BUKHANTSOV,URS,53.61
1960,9,Pentti REPO,FIN,53.44
1960,10,Ferenc KLICS,HUN,53.37
1960,11,Stein Erik HAUGEN,NOR,53.36
1960,12,Lothar MILDE,GER,53.33
1960,13,Zdenek CIHAK,TCH,53.29
1960,14,Zenon BEGIER,POL,53.18
1960,15,Vladimir TRUSENEV,URS,52.93
1960,16,Manfred GRIESER,GER,52.69
1960,17,Adolfo CONSOLINI,ITA,52.44
1960,18,Antonios KOUNADIS,GRE,52.42
1960,19,Zdenek NEMEC,TCH,52.14
1960,20,Todor Artarski TODOROV,BUL,52.12
1960,21,Warren Perrins SELVEY,AUS,49.34
1960,22,Cornelis KOCH,NED,49.21
1960,23,Herbert EGERMANN,AUT,
1960,24,Gideon ARIEL,ISR,
1960,25,Salem EL-JISR,LBN,
