Year,Place,Name,Country,Mark
1960,1,Nina ROMASHKOVA-PONOMAREVA,URS,55.10
1960,2,Tamara PRESS,URS,52.59
1960,3,Lia MANOLIU,ROU,52.36
1960,4,Kriemhild LIMBERG-HAUSMANN,GER,51.47
1960,5,Yevgeniya KUZNETSOVA,URS,51.43
1960,6,Earlene Dennis BROWN,USA,51.29
1960,7,Olga FIKOTOVA-CONNOLLY,USA,50.95
1960,8,Jiřina NĚMCOVÁ-VOBOŘILOVÁ,TCH,50.12
1960,9,Ingrid SCHUCH,GER,49.86
1960,10,Valerie Isobel Margaret SLOPER-YOUNG,NZL,48.81
1960,11,Stepanka MERTOVA,TCH,48.28
1960,12,Wivianne BERGH,SWE,43.96
1960,13,Judit BOGNAR-LENDVAI,HUN,
