Year,Place,Name,Country,Mark
1960,1,Iolanda BALAS,ROU,1.85
1960,2,Dorothy Ada SHIRLEY,GBR,1.71
1960,3,Jaroslawa JOZWIAKOWSKA-BIEDA,POL,1.71
1960,4,Galina DOLYA,URS,1.71
1960,5,Taisiya CHENCHIK,URS,1.68
1960,6,Helen Audrey Ray FRITH,AUS,1.65
1960,7,Frances Mary SLAAP,GBR,1.65
1960,8,Inga-Britt LORENTZON,SWE,1.65
1960,9,Florence PETRY-AMIEL,FRA,1.65
1960,10,Ingrid BECKER-MICKLER,GER,1.65
1960,11,Marlene SCHMITZ-PORTZ-MATHEI,GER,1.65
1960,12,Petronella (Nelly) ZWIER,NED,1.65
1960,13,Olga GERE-PULIC,YUG,1.65
1960,14,Naomi Mae ROGERS,USA,1.65
1960,15,Valentina BALLOD,URS,1.65
1960,16,Jin-Yun WU,TPE,
