Year,Place,Name,Country,Mark
1960,1,Vera KALASHNIKOVA-KREPKINA,URS,6.37
1960,2,Elzbieta DUNSKA-KRZESINSKA,POL,6.27
1960,3,Hildrun CLAUS-LAUFER,GER,6.21
1960,4,Renate JUNKER,GER,6.19
1960,5,Lyudmila RADCHENKO,URS,6.16
1960,6,Helga HOFFMANN,GER,6.11
1960,7,Johanna Catharina A. BIJLEVELD,NED,6.11
1960,8,Valentina SHAPRUNOVA,URS,6.01
1960,9,Mary Denise BIGNAL-RAND,GBR,6.01
1960,10,Beverly Dawn WEIGEL,NZL,5.98
1960,11,Maria ILWICKA-CHOJNACKA-PIĄTKOWSKA,POL,5.98
1960,12,Fumiko ITO,JPN,5.98
1960,13,Marja KUSION-BIBRO,POL,5.86
1960,14,Madeleine THETU,FRA,5.85
1960,15,Norma Wilson CROOKER-FLEMING,AUS,5.82
1960,16,Willye WHITE,USA,5.77
1960,17,Helen Audrey Ray FRITH,AUS,5.62
1960,18,Brita JOHANSSON,FIN,5.57
1960,19,Christina May PERSIGHETTI,GBR,5.57
1960,20,Gertrude FRIES,AUT,
