Year,Place,Name,Country,Mark
1960,1,Tamara PRESS,URS,17.32
1960,2,Johanna LÜTTGE-HÜBNER,GER,16.61
1960,3,Earlene Dennis BROWN,USA,16.42
1960,4,Valerie Isobel Margaret SLOPER-YOUNG,NZL,16.39
1960,5,Zinaida DOINIKOVA,URS,16.13
1960,6,Renate GARISCH-CULMBERGER-BOY,GER,15.94
1960,7,Galina ZYBINA,URS,15.56
1960,8,Wilfriede HOFFMANN,GER,15.14
1960,9,Vera CERNA,TCH,15.06
1960,10,Jadwiga KLIMAJ-KOWALCZUK,POL,14.66
1960,11,Eugenia RUSIN,POL,14.55
1960,12,Milena USENIK,YUG,14.19
1960,13,Melania MARINESCU,ROU,
1960,14,Judit BOGNAR-LENDVAI,HUN,
