Year,Place,Name,Country,Mark
1960,1,Jozef SCHMIDT,POL,16.81
1960,2,Vladimir GORYAEV,URS,16.63
1960,3,Vitold KREER,URS,16.43
1960,4,Ira Sylvester DAVIS,USA,16.41
1960,5,Vilhjalmur EINARSSON,ISL,16.37
1960,6,Ryszard MALCHERCZYK,POL,16.01
1960,7,Manfred HINZE,GER,15.93
1960,8,Kari Tapani RAHKAMO,FIN,15.84
1960,9,Ian Ross TOMLINSON,AUS,15.71
1960,10,Yevgeny MIKHAYLOV,URS,15.67
1960,11,Sten ERICSON,SWE,15.49
1960,12,Fred John ALSOP,GBR,15.49
1960,13,John BAGULEY,AUS,15.22
1960,14,Adhemar FERREIRA DA SILVA,BRA,15.07
1960,15,Pierluigi GATTI,ITA,
1960,16,Lyuben Nikolov GURGUCHINOV,BUL,
1960,17,Kaimar-ud-din BIN MAIDIN,MAS,
