Year,Place,Name,Country,Mark
1988,1,Peter RONO,KEN,03:35.960
1988,2,Peter ELLIOTT,GBR,03:36.150
1988,3,Jens-Peter HEROLD,GDR,03:36.210
1988,4,Stephen CRAM,GBR,03:36.240
1988,5,Steven Michael SCOTT,USA,03:36.990
1988,6,Johanes Nicolaas Maria KULKER,NED,03:37.080
1988,7,Robert Kipkoech CHERUIYOT,KEN,03:37.940
1988,8,Marcus O'SULLIVAN,IRL,03:38.390
1988,9,Mário DA SILVA,POR,03:38.770
1988,10,Jeffrey Patrick ATKINSON,USA,03:40.800
1988,11,Joseph CHESIRE,KEN,03:40.820
1988,12,Omer KHALIFA,SUD,03:41.070
1988,13,Nimley TWEGBE,LBR,
