Year,Place,Name,Country,Mark
1912,1,Ralph CRAIG,USA,21.700
1912,2,Donald LIPPINCOTT,USA,21.800
1912,3,William APPLEGARTH,GBR,21.900
1912,4,Richard RAU,GER,22.2
1912,5,Charles Decker REIDPATH,USA,22.3
1912,6,Donnell Brooks YOUNG,USA,22.3
1912,7,Alexandre LEAL,POR,
1912,8,István ONDRUS,HUN,
1912,9,Émile LESIEUR,FRA,
1912,10,Maurice GALLISA,FRA,
1912,11,Jack SWEET,AUS,
1912,12,Angelo ROSSI,ITA,
1912,13,Francesco BICCHI,ITA,
1912,14,Raymond SALADIN,FRA,
1912,15,Jean SCHOLS,BEL,
1912,16,André GAUTHIER,FRA,
1912,17,Stanislaus RUDSIT,RUS,
1912,18,Maurice COLMAN,BEL,
1912,19,Vilmos RÁDI,HUN,
1912,20,Frederick BROWNE,GBR,
1912,21,Jean SAMAZEUILH,FRA,
1912,22,Bernhard VOGEL,RUS,
1912,23,Fernand RAPIN,FRA,
1912,24,Gaston WEMS,BEL,
1912,25,Claude Murray ROSS,AUS,
1912,26,Thomas EBNER,AUT,
1912,27,Fritz WEINZINGER,AUT,
1912,28,Victor JACQUEMIN,BEL,
1912,29,Bedrich VYGODA,CZE,
1912,30,Robert KERR,CAN,
1912,31,Frank LUKEMAN,CAN,
1912,32,Rodolfo HAMMERSLEY,CHI,
1912,33,Leopoldo E. PALMAS,CHI,
1912,34,Erwin KERN,GER,
1912,35,Emil KETTERER,GER,
1912,36,Dimitrios TRIANTAFYLLAKOS,GRE,
1912,37,István JANKOVICH,HUN,
1912,38,Vilmos RACZ,HUN,
1912,39,Karoly RADOCZY,HUN,
1912,40,Pal SZALAI,HUN,
1912,41,Jon HALLDORSSON,ISL,
1912,42,Alexander PEDERSEN,NOR,
1912,43,Ole Jacob PEDERSEN,NOR,
1912,44,Ulrick BAASCH,RUS,
1912,45,Dusan MILOSEVIC,SRB,
1912,46,O.Ragnar B. EKBERG,SWE,
1912,47,Eric LINDHOLM,SWE,
1912,48,Rolf SMEDMARK,SWE,
1912,49,Mkrtich MKRYAN,TUR,
1912,50,Howard DREW,USA,
1912,51,Eugene Leroy MERCER,USA,
