Year,Place,Name,Country,Mark
1912,1,Pat MCDONALD,USA,15.34
1912,2,Ralph ROSE,USA,15.25
1912,3,Laurence Atwood WHITNEY,USA,13.93
1912,4,Erik SVENSSON,SWE,
1912,5,Angelo PEDRELLI,ITA,
1912,6,Janne ANDERSSON,SWE,
1912,7,Al REICH,USA,
1912,8,Pietro ERCULEI,ITA,
1912,9,Géza POGÁNY,HUN,
1912,10,Vencheslav OSTRUKHOV,RUS,
1912,11,Will ZIEGLER,USA,
1912,12,Arthur BARTLETT,USA,
1912,13,Henry KLAGES,USA,
1912,14,Russell BEATTY,USA,
1912,15,August KIHLART,RUS,
1912,16,Herbert THATCHER,USA,
1912,17,Kálmán KIRCHHOFFER,HUN,
1912,18,Karl MICHL,AUT,
1912,19,Gustave LEMASSON,FRA,
1912,20,Gustave AMOLY,FRA,
1912,21,Arthur KOHLER,USA,
1912,22,Szilárd JOANOVITS,HUN,
1912,23,Pierre FAILLIOT,FRA,
1912,24,Ned BARRETT,GBR,
1912,25,Thomas Rae NICOLSON,GBR,
1912,26,Alex ABRAHAM,GER,
1912,27,Josef WAITZER,GER,
1912,28,Nikolaos GEORGANTAS,GRE,
1912,29,Rezső UJLAKI,HUN,
1912,30,Umberto AVATTANEO,ITA,
1912,31,Carlo BUTTI,ITA,
1912,32,Giuseppe TUGNOLI,ITA,
1912,33,Eric LEMMING,SWE,
1912,34,Carl Johan LIND,SWE,
1912,35,Emil MAGNUSSON,SWE,
1912,36,Henning MÖLLER,SWE,
1912,37,Gunar NILSSON,SWE,
1912,38,Otto NILSSON,SWE,
1912,39,C. Robert OLSSON,SWE,
1912,40,Hugo K. WIESLANDER,SWE,
1912,41,Arlie Max MUCKS,USA,
1912,42,André DÉSFARGES,FRA,
