Year,Place,Name,Country,Mark
1912,1,Gustav LINDBLOM,SWE,14.35
1912,2,Georg ABERG,SWE,14.03
1912,3,Erik ALMLÖF,SWE,14.10
1912,4,Daniel CAMPBELL,GBR,
1912,5,Géza VADON,HUN,
1912,6,László TIHANYI,HUN,
1912,7,James WILKINSON,USA,
1912,8,Leone LINARDI,ITA,
1912,9,Giulio ALVISI,ITA,
1912,10,Colombo ZEVOLA,ITA,
1912,11,Furio BINI,ITA,
1912,12,James WASSON,USA,
1912,13,Paul FOURNELLE,LUX,
1912,14,Viktor FRANZL,AUT,
1912,15,William HALPENNY,CAN,
1912,16,Pablo EITHEL,CHI,
1912,17,Rodolfo HAMMERSLEY,CHI,
1912,18,Sidney Solomon ABRAHAMS,GBR,
1912,19,Henry Sherard Osb. ASHINGTON,GBR,
1912,20,Thomas O'DONOHUE,GBR,
1912,21,Dimitrios TRIANTAFYLLAKOS,GRE,
1912,22,Nandor KOVACS,HUN,
1912,23,Pal SZALAI,HUN,
1912,24,Manlio LEGAT,ITA,
1912,25,Alfredo PAGANI,ITA,
1912,26,Gustav BETZEN,SWE,
1912,27,Sten HAGANDER,SWE,
1912,28,Sander SANTESSON,SWE,
1912,29,Benjamin W. ADAMS,USA,
1912,30,Harry Stoddard BABCOCK,USA,
1912,31,Leo GOEHRING,USA,
1912,32,Albert Lovejoy GUTTERSON,USA,
1912,33,Francis C. IRONS,USA,
1912,34,Jim THORPE,USA,
