Year,Place,Name,Country,Mark
2000,1,Millon WOLDE,ETH,13:35.490
2000,2,Ali SAIDI-SIEF,ALG,13:36.200
2000,3,Brahim LAHLAFI,MAR,13:36.470
2000,4,Fita BAYISSA,ETH,13:37.030
2000,5,David CHELULE,KEN,13:37.130
2000,6,Dange ALEMU,ETH,13:37.170
2000,7,Serhiy LEBID,UKR,13:37.800
2000,8,Jirka ARNDT,GER,13:38.570
2000,9,Julius GITAHI,KEN,13:39.110
2000,10,Richard LIMO,KEN,13:39.430
2000,11,Reda BENZINE,ALG,13:40.950
2000,12,Mizan MEHARI,AUS,13:42.030
2000,13,Adam GOUCHER,USA,13:43.200
2000,14,Mohammed SULEIMAN,QAT,13:45.100
2000,15,Toshinari TAKAOKA,JPN,13:46.900
2000,16,Mohammed MOURHIT,BEL,
2000,17,José David GALVÁN,MEX,
