Year,Place,Name,Country,Mark
1964,1,Peter SNELL,NZL,03:38.100
1964,2,Josef ODLOZIL,TCH,03:39.600
1964,3,John DAVIES,NZL,03:39.600
1964,4,Alan SIMPSON,GBR,03:39.700
1964,5,Dyrol Jay BURLESON,USA,03:40.000
1964,6,Witold BARAN,POL,03:40.300
1964,7,Michel BERNARD,FRA,03:41.200
1964,8,John H. WHETTON,GBR,03:42.400
1964,9,Jean WADOUX,FRA,03:45.400
1964,10,Ahmet ISSA,CHA,
1964,11,Jose G. NEIRA CARVAJAL,COL,
1964,12,Michel JAZY,FRA,
1964,13,Jean RANDRIANJATOVO,MAD,
1964,14,Manuel De OLIVEIRA,POR,
1964,15,Muharrem DALKILIC,TUR,
1964,16,Nguyen Van LY,VIE,
