Year,Place,Name,Country,Mark
1964,1,Tamara PRESS,URS,57.27
1964,2,Ingrid LOTZ,GER,57.21
1964,3,Lia MANOLIU,ROU,56.97
1964,4,Virzhiniya MIHAYLOVA,BUL,56.70
1964,5,Yevgeniya KUZNETSOVA,URS,55.17
1964,6,Jolan KLEIBER-KONTSEK,HUN,54.87
1964,7,Kriemhild LIMBERG-HAUSMANN,GER,53.81
1964,8,Olimpia CATARAMA,ROU,53.08
1964,9,Jiřina NĚMCOVÁ-VOBOŘILOVÁ,TCH,52.80
1964,10,Judit STUGNER,HUN,52.52
1964,11,Nina ROMASHKOVA-PONOMAREVA,URS,52.48
1964,12,Olga FIKOTOVA-CONNOLLY,USA,51.58
1964,13,Valerie Isobel Margaret SLOPER-YOUNG,NZL,49.59
1964,14,Doris MÜLLER-LORENZ,GER,45.63
1964,15,Judit BOGNAR-LENDVAI,HUN,
