Year,Place,Name,Country,Mark
1964,1,Iolanda BALAS,ROU,1.90
1964,2,Michelle Mary MASON-BROWN,AUS,1.80
1964,3,Taisiya CHENCHIK,URS,1.78
1964,4,Aida DOS SANTOS MENEZES,BRA,1.74
1964,5,Dianne Roberta GERACE,CAN,1.71
1964,6,Frances Mary SLAAP,GBR,1.71
1964,7,Olga GERE-PULIC,YUG,1.71
1964,8,Eleanor Inez MONTGOMERY,USA,1.71
1964,9,Karin RUGER-SCHULZE,GER,1.71
1964,10,Jaroslawa JOZWIAKOWSKA-BIEDA,POL,1.71
1964,11,Robyn WOODHOUSE,AUS,1.71
1964,12,Gerda KUPFERSCHMIED,GER,1.68
1964,13,Leena Kyllikki KAARNA,FIN,1.65
1964,14,Ulla FLEGEL,AUT,
1964,15,Terrezene BROWN,USA,
1964,16,Doris LANGER,GER,
1964,17,Jeon-ja KIM,KOR,
