Year,Place,Name,Country,Mark
1964,1,Lynn DAVIES,GBR,8.07
1964,2,Ralph Harold BOSTON,USA,8.03
1964,3,Igor TER-OVANESYAN,URS,7.99
1964,4,Wariboko WEST,NGR,7.60
1964,5,Jean COCHARD,FRA,7.44
1964,6,Luis Felipe ARETA SAMPERIZ,ESP,7.34
1964,7,Michael Kofi AHEY,GHA,7.30
1964,8,Andrzej STALMACH,POL,7.26
1964,9,Hiroomi YAMADA,JPN,7.16
1964,10,Wolfgang KLEIN,GER,7.15
1964,11,John Michael MORBEY,GBR,7.09
1964,12,Gayle Patrick HOPKINS,USA,
1964,13,William KAMANYI,UGA,
1964,14,Constantin BADEA,ROU,
1964,15,Joseph KOBINA ADJET,GHA,
1964,16,Samir Ambrose VINCENT,IRQ,
1964,17,George OGAN,NGR,
