Year,Place,Name,Country,Mark
1964,1,Dallas Crutcher III LONG,USA,20.33
1964,2,James Randel MATSON,USA,20.20
1964,3,Vilmos VARJU,HUN,19.39
1964,4,Parry O'BRIEN,USA,19.20
1964,5,Zsigmond NAGY,HUN,18.88
1964,6,Nikolay KARASYOV,URS,18.86
1964,7,Leslie Roy MILLS,NZL,18.52
1964,8,Adolfas VARANAUSKAS,URS,18.41
1964,9,Wladyslaw KOMAR,POL,18.20
1964,10,Viktor LIPSNIS,URS,18.11
1964,11,Rudolf LANGER,GER,17.29
1964,12,Dieter HOFFMANN,GER,17.11
1964,13,Georgios TSAKANIKAS,GRE,16.87
1964,14,Gheorghe ZEMBRESTEANU,ROU,
1964,15,Gideon ARIEL,ISR,
1964,16,Edmund PIATKOWSKI,POL,
