Year,Place,Name,Country,Mark
1964,1,Tamara PRESS,URS,18.14
1964,2,Renate GARISCH-CULMBERGER-BOY,GER,17.61
1964,3,Galina ZYBINA,URS,17.45
1964,4,Valerie Isobel Margaret SLOPER-YOUNG,NZL,17.26
1964,5,Margitta HELMBOLD-GUMMEL,GER,16.91
1964,6,Iryna PRESS,URS,16.71
1964,7,Nancy Cranwell MCCREDIE,CAN,15.89
1964,8,Ana SALAJAN,ROU,15.83
1964,9,Johanna LÜTTGE-HÜBNER,GER,15.77
1964,10,Ivanka Mikailova CHRISTOVA-TODOROVA,BUL,15.69
1964,11,Judit BOGNAR-LENDVAI,HUN,15.65
1964,12,Earlene Dennis BROWN,USA,14.80
1964,13,Namjilmaa DASJZEVEG,MGL,
