Year,Place,Name,Country,Mark
1964,1,Jozef SCHMIDT,POL,16.85
1964,2,Oleg FEDOSEEV,URS,16.58
1964,3,Viktor KRAVCHENKO,URS,16.57
1964,4,Fred John ALSOP,GBR,16.46
1964,5,Serban CIOCHINA,ROU,16.23
1964,6,Manfred HINZE,GER,16.15
1964,7,Georgi Ivanov STOYKOVSKI,BUL,16.10
1964,8,Hans-Jurgen RUCKBORN,GER,16.09
1964,9,Ira Sylvester DAVIS,USA,16.00
1964,10,Takayuki OKAZAKI,JPN,15.90
1964,11,William John SHARPE,USA,15.84
1964,12,Jan JASKOLSKI,POL,15.82
1964,13,Mamsdou Monsour DIA,SEN,15.44
1964,14,Khrisostomos MOUSIADIS,GRE,
1964,15,Won-sil CHA,PRK,
